Artist,nov17,mar18,value_growth
Chaïm Soutine ,"['Nature morte au poisson USD 612,500 18 ¼ x 28 7/8 in. (46.3 x 73.3 cm.)|', ""L'arbre de Vence USD 792,500 29 ½ x 26 ¼ in. (75 x 66.2 cm.)|""]","['Portrait de Charlot GBP 896,750 11 3/4 x 9 7/8 in. (30.4 x 25.1 cm.)|', 'Maisons au bord de mer GBP 224,750 26 1/2 x 21 1/4 in. (67.4 x 53.8 cm.)|']",
Diego Giacometti ,Average Value: 125000.0,Average Value:215199.53900000002,72.15963120000002
Diego Giacometti ,Similar Objects,Similar Objects,
Diego Giacometti ,,"['Lampadaire aux trois oiseaux GBP 344,750 Height: 57 1/2 in. (146 cm.)|']",
Eugène Boudin ,Average Value: 205357.14285714287,Average Value:151890.62660000002,-26.035868786086954
Eugène Boudin ,Similar Objects,Similar Objects,
Eugène Boudin ,"['Trouville, Scène de plage USD 187,500 5 3/8 x 10 3/8 in. (13.8 x 26.5 cm.)|', 'Le port de Trouville USD 100,000 7 x 9 7/8 in. (17.8 x 25.1 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|']","['Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|']",
Eugène Boudin ,"['Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|']","['Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|']",
Eugène Boudin ,"['Le port de Trouville USD 100,000 7 x 9 7/8 in. (17.8 x 25.1 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Trouville, Scène de plage USD 187,500 5 3/8 x 10 3/8 in. (13.8 x 26.5 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|']","['Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|']",
Eugène Boudin ,"['Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|']","['Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|']",
